ticker,entry_date,rsi_10,price_above_ema200,avg_volume_20,volume_ratio,vol_strong,recent_high_20,recent_low_20,support_distance_pct,ema9_distance_pct,has_hammer,has_bullish_engulfing,has_divergence,pe,pb,fundamental_ok,dip_depth_from_20d_high_pct,consecutive_red_days,dip_speed_pct_per_day,decline_rate_slowing,volume_green_vs_red_ratio,support_hold_count,nifty_trend,nifty_vs_sma20_pct,nifty_vs_sma50_pct,india_vix,day_of_week,is_monday,is_friday,month,quarter,is_q4,is_month_end,is_quarter_end,rsi_volume_interaction,dip_support_interaction,extreme_dip_high_volume,bearish_deep_dip,atr_pct_14,hist_vol_20d,ret_60d,ret_120d,dist_from_high_252d_pct,max_favorable_pct_20d,actual_pnl_pct,exit_date,exit_reason,holding_days,label,stock_rsi30_prior_count,stock_rsi30_prior_bounce_rate,stock_rsi30_days_since_last,sample_weight
63MOONS.NS,2022-04-28,28.6421,True,63336.75,0.253913,False,304.4019,229.498,0.0,-12.430855,False,False,False,,,True,-24.606903,0,0.0,False,0.4028,6,-1,-0.1466,-0.0564,19.38,3,0.0,0.0,4,2,0.0,0.0,0.0,7.272599,0.0,0.0,1.0,5.91117,3.795801,-15.405603,136.571701,-37.587226,-4.988177,-25.886907,2022-05-19,EMA9,21,avoid,3,0.6666666666666666,63,1.0
63MOONS.NS,2023-10-09,25.7454,True,99569.0,1.192811,False,316.3925,249.7367,0.0,-7.415259,False,False,False,,,True,-21.067429,1,21.067429,True,0.4936,7,-1,-0.689,-0.2295,11.4,0,1.0,0.0,10,4,1.0,0.0,0.0,30.70944,0.0,0.0,1.0,4.551296,2.400994,2.24559,51.71333,-29.842573,15.436639,6.305957,2023-10-17,EMA9,8,buy,4,0.5,529,1.0
63MOONS.NS,2024-01-24,27.6833,True,93708.2,1.59939,True,474.2862,401.2579,0.0,-5.602164,False,False,False,,,True,-15.39751,4,3.849377,False,1.3117,1,-1,-0.3463,1.8655,14.38,2,0.0,0.0,1,1,0.0,0.0,0.0,44.276407,0.0,1.0,1.0,4.423495,2.360006,52.396229,66.944781,-41.534564,36.85775,8.56754,2024-02-05,EMA9,12,buy,5,0.6,107,1.0
63MOONS.NS,2024-03-11,29.3544,True,139122.95,0.630061,False,536.4844,416.0126,0.0,-7.668666,False,False,False,,,True,-22.455784,1,22.455784,True,1.1562,9,1,0.7808,2.5214,14.0,0,1.0,0.0,3,1,0.0,0.0,0.0,18.495097,0.0,0.0,1.0,6.35982,3.576329,-29.482101,39.123745,-39.384725,10.747549,-2.758544,2024-03-21,EMA9,10,avoid,6,0.6666666666666666,47,1.0
63MOONS.NS,2025-01-27,29.2879,True,313939.55,0.401912,False,948.3754,723.2661,0.0,-8.740344,False,False,False,,,True,-23.73631,1,23.73631,False,0.9142,1,-1,-2.2968,-3.9115,18.13,0,1.0,0.0,1,1,0.0,0.0,0.0,11.771164,0.0,0.0,1.0,6.164439,3.634468,39.082002,89.938235,-32.869862,8.809727,6.296604,2025-02-05,EMA9,9,buy,7,0.5714285714285714,322,1.0
63MOONS.NS,2025-02-14,27.0125,True,164842.8,0.844884,False,815.2972,642.8699,0.0,-9.727086,False,False,False,,,True,-21.149013,4,5.287253,False,0.5959,1,-1,-1.5749,-2.6527,15.02,4,0.0,1.0,2,1,0.0,0.0,0.0,22.82244,0.0,0.0,1.0,5.231474,3.398354,11.136048,92.223044,-40.331855,22.860029,5.460619,2025-02-20,EMA9,6,buy,8,0.625,18,1.0
63MOONS.NS,2025-04-30,28.9461,True,146214.1,0.723419,False,813.0501,644.0684,0.0,-6.310879,False,False,False,,,True,-20.783682,1,20.783682,False,1.5658,2,1,2.5731,3.9779,18.22,2,0.0,0.0,4,2,0.0,1.0,0.0,20.940159,0.0,0.0,1.0,5.073323,2.743817,-13.296578,7.752723,-40.220617,40.952077,4.50457,2025-05-12,EMA9,12,buy,9,0.6666666666666666,75,1.0
63MOONS.NS,2025-08-08,27.2516,True,182142.2,0.596089,False,1092.4894,912.1222,0.0,-5.799606,False,False,False,,,True,-16.509743,0,0.0,False,1.0464,5,-1,-1.8294,-1.9684,12.03,4,0.0,1.0,8,3,0.0,0.0,0.0,16.24438,0.0,0.0,1.0,4.673008,1.911024,11.507237,28.434825,-19.176994,12.766891,9.241218,2025-08-18,EMA9,10,buy,10,0.7,100,1.0
63MOONS.NS,2025-09-26,25.9398,True,131439.15,1.499561,False,940.3857,870.75,0.0,-4.071523,False,False,False,,,True,-7.405013,2,3.702506,False,1.012,0,-1,-1.3496,-1.0545,11.43,4,0.0,1.0,9,3,0.0,0.0,0.0,38.898275,0.0,0.0,0.0,3.520682,1.197144,-12.374436,7.592326,-22.842977,4.048234,2.021243,2025-10-06,EMA9,10,buy,11,0.7272727272727273,49,1.0
A2ZINFRA.NS,2015-09-04,27.1718,True,292457.9,1.225612,False,27.55,20.4,0.0,-8.745001,False,False,False,,,True,-25.952812,5,5.190562,False,1.6882,1,-1,-4.9481,-7.0458,26.42,4,0.0,1.0,9,3,0.0,0.0,0.0,33.302148,0.0,0.0,1.0,10.27661,4.301042,63.855421,20.353975,-37.993925,35.294122,6.127451,2015-09-09,EMA9,5,buy,0,0.6321660418762001,0,1.0
A2ZINFRA.NS,2015-12-11,26.2009,True,294885.25,0.881346,False,27.5,23.3,0.0,-6.17401,False,False,False,,,True,-15.27273,8,1.909091,True,1.6354,3,-1,-2.5876,-3.9719,17.18,4,0.0,1.0,12,4,1.0,0.0,0.0,23.092046,0.0,0.0,1.0,6.529736,2.568749,7.621245,77.186311,-29.179337,28.326183,4.721032,2015-12-17,EMA9,6,buy,1,1.0,98,1.0
A2ZINFRA.NS,2017-05-22,29.4647,True,1020042.0,0.720084,False,51.7,42.0,0.0,-7.432082,False,False,False,,,True,-18.76209,6,3.127015,False,1.5547,10,1,0.7389,2.4809,11.2,0,1.0,0.0,5,2,0.0,0.0,0.0,21.217055,0.0,0.0,1.0,4.787416,2.97171,2.689483,6.463876,-20.227923,3.333337,0.83333,2017-06-05,EMA9,14,avoid,2,1.0,528,1.0
A2ZINFRA.NS,2022-02-21,29.1245,True,848345.2,0.813971,False,12.85,9.2,0.0,-8.962027,False,False,False,,,True,-28.404673,2,14.202336,False,1.7195,1,-1,-1.0008,-1.4515,22.9,0,1.0,0.0,2,1,0.0,0.0,0.0,23.70649,0.0,0.0,1.0,7.569874,3.564606,46.031739,106.741578,-34.751776,23.913042,6.521743,2022-03-02,EMA9,9,buy,3,0.6666666666666666,1736,1.0
A2ZINFRA.NS,2022-05-11,29.7086,True,968832.35,0.545507,False,15.5,10.95,0.0,-9.564218,False,False,False,,,True,-29.35484,0,0.0,True,0.773,4,-1,-4.0541,-5.246,22.8,2,0.0,0.0,5,2,0.0,0.0,0.0,16.206235,0.0,0.0,1.0,7.403783,3.742271,-0.904981,72.440944,-32.198142,35.159821,6.849315,2022-05-17,EMA9,6,buy,4,0.75,79,1.0
A2ZINFRA.NS,2022-06-20,27.391,True,317674.15,0.991576,False,13.4,9.85,0.0,-9.846489,False,False,False,,,True,-26.492532,3,8.830844,False,1.1939,3,-1,-4.0954,-6.3399,22.41,0,1.0,0.0,6,2,0.0,0.0,0.0,27.160211,0.0,0.0,1.0,7.28789,3.37054,-1.005019,30.463578,-39.009284,23.350245,5.583748,2022-06-27,EMA9,7,buy,5,0.8,40,1.0
A2ZINFRA.NS,2022-09-20,29.9807,True,374809.0,2.04537,True,13.2,11.4,0.0,-4.922851,False,False,False,,,True,-13.636365,0,0.0,True,1.1714,11,1,0.717,2.7818,18.8,1,0.0,0.0,9,3,0.0,0.0,0.0,61.321616,0.0,0.0,0.0,5.137846,2.343378,12.871279,17.525772,-29.411765,2.631581,-0.43859,2022-10-07,EMA9,17,avoid,6,0.8333333333333334,92,1.0
A2ZINFRA.NS,2024-03-18,28.1358,True,240428.15,0.117873,False,16.7,12.8,0.0,-6.672602,False,False,False,,,True,-23.353296,0,0.0,True,1.0,7,-1,-0.3663,0.9775,13.9,0,1.0,0.0,3,1,0.0,0.0,0.0,3.316451,0.0,0.0,1.0,0.279018,3.211983,19.626172,29.292936,-23.353296,20.703122,3.515623,2024-03-27,EMA9,9,buy,7,0.7142857142857143,545,1.0
A2ZINFRA.NS,2024-07-22,27.2798,True,204228.85,0.877408,False,23.4,18.62,0.0,-5.847672,False,False,False,,,True,-20.427346,0,0.0,False,1.0,1,1,1.1325,3.7662,15.44,0,1.0,0.0,7,3,0.0,0.0,0.0,23.935535,0.0,0.0,1.0,0.836274,2.297197,34.92754,37.925932,-24.21652,10.096665,3.866806,2024-07-26,EMA9,4,buy,8,0.75,126,1.0
A2ZINFRA.NS,2024-08-09,28.7505,True,147087.25,1.096574,False,20.5,17.43,0.0,-6.528058,False,False,True,,,True,-14.975608,0,0.0,False,0.4921,1,-1,-0.1484,1.5437,15.34,4,0.0,1.0,8,3,0.0,0.0,0.0,31.527051,0.0,0.0,0.0,2.876815,2.618939,19.793815,33.563219,-29.059827,18.646012,7.687895,2024-08-19,EMA9,10,buy,9,0.7777777777777778,18,1.0
A2ZINFRA.NS,2024-09-12,28.5255,True,124164.35,0.70058,False,20.52,16.4,0.0,-4.4739,False,False,False,,,True,-20.077976,0,0.0,True,1.0,2,1,1.7124,3.3298,13.18,3,0.0,0.0,9,3,0.0,0.0,0.0,19.9844,0.0,0.0,1.0,0.831881,2.410965,-22.20114,25.670493,-33.251934,19.69512,2.134149,2024-09-19,EMA9,7,buy,10,0.8,34,1.0
A2ZINFRA.NS,2025-01-28,27.6868,True,354931.55,0.71498,False,26.62,18.79,0.0,-10.658653,False,False,False,,,True,-29.413973,1,29.413973,False,1.8204,2,-1,-1.5847,-3.2443,18.2,1,0.0,0.0,1,1,0.0,0.0,0.0,19.795477,0.0,0.0,1.0,6.546034,3.898711,10.790106,1.95334,-29.888054,16.817454,7.078232,2025-02-05,EMA9,8,buy,11,0.8181818181818182,138,1.0
AAATECH.NS,2022-06-16,29.7821,True,5175.0,2.608696,True,47.5854,43.7271,0.0,-2.547327,False,False,False,,,True,-8.108112,1,8.108112,True,0.375,18,-1,-4.9284,-6.7816,22.87,3,0.0,0.0,6,2,0.0,0.0,0.0,77.692538,0.0,0.0,0.0,0.168068,1.276379,-2.857139,11.475419,-12.820514,55.588239,4.264705,2022-06-23,EMA9,7,buy,0,0.6321660418762001,0,1.0
AAATECH.NS,2022-09-23,29.3304,True,42525.0,0.31746,False,91.4384,67.9368,0.0,-13.955837,False,False,False,,,True,-25.702168,0,0.0,False,0.25,3,-1,-1.8395,-0.1814,20.59,4,0.0,1.0,9,3,0.0,0.0,0.0,9.311245,0.0,0.0,1.0,6.577339,5.054092,45.221099,53.11356,-29.899997,5.563478,3.352342,2022-10-11,EMA9,18,buy,1,1.0,99,1.0
AAATECH.NS,2022-10-27,29.9531,True,9450.0,1.904762,True,71.7164,63.5756,1.676818,-5.540321,False,False,True,,,True,-9.864877,0,0.0,False,0.1667,2,1,1.7138,2.3044,16.6,3,0.0,0.0,10,4,1.0,0.0,0.0,57.05355,16.5416,0.0,0.0,0.530092,2.554736,-9.762871,41.58333,-33.300008,12.44379,3.898065,2022-11-02,EMA9,6,buy,2,1.0,34,1.0
AAATECH.NS,2022-12-07,26.3205,True,13687.0,1.637758,True,76.3198,61.1043,0.0,-10.270651,False,False,False,,,True,-19.936504,4,4.984126,True,0.3048,0,1,0.6203,2.7306,14.08,2,0.0,0.0,12,4,1.0,0.0,0.0,43.106592,0.0,1.0,1.0,4.253995,3.028638,-29.944451,37.71482,-36.950004,11.023005,-9.516246,2022-12-29,EMA9,22,avoid,3,1.0,41,1.0
AAATECH.NS,2024-03-28,28.9217,True,23279.05,1.081788,False,103.3309,80.0265,0.0,-5.225649,False,False,False,,,True,-22.553189,4,5.638297,False,0.9449,1,1,1.0322,1.9896,12.83,3,0.0,0.0,3,1,0.0,0.0,0.0,31.28715,0.0,0.0,1.0,6.131169,2.797817,-2.150524,43.684226,-24.236808,79.487156,6.105006,2024-04-02,EMA9,5,buy,4,0.75,477,1.0
AAATECH.NS,2024-05-30,29.5049,True,27419.75,0.721451,False,126.2444,100.9369,0.0,-9.531891,False,False,False,,,True,-20.046435,0,0.0,False,0.5713,4,-1,-0.3109,0.5074,24.18,3,0.0,0.0,5,2,0.0,0.0,0.0,21.286301,0.0,0.0,1.0,4.55677,2.950845,-0.096717,37.458408,-29.727888,17.812196,6.418208,2024-06-10,EMA9,11,buy,5,0.8,63,1.0
AAATECH.NS,2024-10-07,29.3338,True,120675.9,0.435083,False,143.4107,116.4899,0.0,-8.468476,False,False,False,,,True,-18.771799,11,1.706527,False,1.0,7,-1,-2.5179,-1.0314,15.08,0,1.0,0.0,10,4,1.0,0.0,0.0,12.762636,0.0,0.0,1.0,7.284173,3.29948,5.539229,23.797615,-26.154804,16.181175,10.666779,2024-10-09,EMA9,2,buy,6,0.8333333333333334,130,1.0
AAATECH.NS,2024-10-24,29.3448,True,42859.15,1.588389,True,133.5544,112.5474,0.0,-7.609526,False,False,True,,,True,-15.729172,3,5.243057,False,0.8134,7,-1,-2.1582,-2.2109,13.97,3,0.0,0.0,10,4,1.0,0.0,0.0,46.610923,0.0,1.0,1.0,6.228525,3.084161,3.618496,-10.849588,-28.654025,12.757047,5.559425,2024-10-30,EMA9,6,buy,7,0.8571428571428571,17,1.0
AARON.NS,2019-11-14,28.3599,True,13860.0,0.909091,False,12.7155,11.7864,0.0,-4.289764,False,False,False,,,True,-7.307307,0,0.0,False,1.0,16,1,0.9644,2.8847,15.65,3,0.0,0.0,11,4,1.0,0.0,0.0,25.781748,0.0,0.0,0.0,0.0,2.128544,-0.527356,9.409241,-7.307307,9.71923,7.775383,2019-11-19,EMA9,5,buy,0,0.6321660418762001,0,1.0
AARON.NS,2021-04-22,27.4121,True,4377.4,7.044364,True,28.7688,25.3697,0.0,-6.023616,False,False,False,,,True,-11.815071,2,5.907536,False,0.3829,1,-1,-1.3426,-1.3588,23.03,3,0.0,0.0,4,2,0.0,0.0,0.0,193.100784,0.0,0.0,0.0,7.343969,2.121636,0.98039,86.594208,-24.208974,106.893222,2.71845,2021-05-06,EMA9,14,buy,1,1.0,525,1.0
AARON.NS,2021-06-17,28.9016,True,21326.0,0.668574,False,47.3896,35.222,0.0,-9.587554,False,False,False,,,True,-25.675683,3,8.558561,False,0.6656,0,1,0.8777,3.187,15.29,3,0.0,0.0,6,2,0.0,0.0,0.0,19.322819,0.0,0.0,1.0,7.447551,2.940422,20.879107,42.572266,-32.895363,66.223785,10.000018,2021-06-23,EMA9,6,buy,2,1.0,56,1.0
AARON.NS,2022-02-24,27.9527,True,10181.3,1.199847,False,65.9366,55.0991,0.0,-6.065411,False,False,False,,,True,-16.436319,0,0.0,False,1.0342,14,-1,-5.6608,-6.5365,31.98,3,0.0,0.0,2,1,0.0,0.0,0.0,33.538972,0.0,0.0,1.0,5.377098,2.455848,0.49416,7.496397,-26.195979,8.180602,0.447033,2022-03-09,EMA9,13,avoid,3,1.0,252,1.0
AARON.NS,2023-09-26,29.9295,True,4714.1,0.624934,False,133.9047,121.7316,0.0,-2.166805,False,False,False,,,True,-9.090915,0,0.0,False,1.0,7,-1,-0.4399,0.5677,11.19,1,0.0,0.0,9,3,0.0,0.0,0.0,18.703924,0.0,0.0,0.0,0.899417,1.046125,12.31979,34.128262,-16.066826,20.816333,6.000019,2023-10-03,EMA9,7,buy,4,0.75,579,1.0
AARON.NS,2024-02-13,27.9493,True,24584.4,1.101512,False,141.78,125.6071,0.0,-4.427798,False,False,False,,,True,-11.407037,1,11.407037,False,1.1899,0,1,0.279,1.9249,15.81,1,0.0,0.0,2,1,0.0,0.0,0.0,30.786477,0.0,0.0,0.0,3.613811,1.734209,-5.247362,-2.120108,-22.549014,23.477051,1.997634,2024-02-21,EMA9,8,buy,5,0.8,140,1.0
AARON.NS,2025-06-27,29.0445,True,18792.0,1.225202,False,201.2037,179.7343,0.0,-4.389166,False,False,False,,,True,-10.670468,6,1.778411,True,0.9031,7,1,2.4272,4.0923,12.39,4,0.0,1.0,6,2,0.0,0.0,0.0,35.585347,0.0,0.0,0.0,3.926193,1.637205,10.33216,-2.37031,-16.186045,29.023307,6.867368,2025-07-01,EMA9,4,buy,6,0.8333333333333334,500,1.0
AARON.NS,2025-07-14,29.5253,True,19182.4,3.04696,True,201.2037,174.2735,0.0,-4.757892,False,False,True,,,True,-13.384557,6,2.230759,True,1.2507,15,-1,-0.679,0.7331,11.98,0,1.0,0.0,7,3,0.0,0.0,0.0,89.962518,0.0,0.0,0.0,3.702758,2.260153,-0.042902,0.171994,-18.732554,36.786377,8.627843,2025-07-16,EMA9,2,buy,7,0.8571428571428571,17,1.0
AARTIIND.NS,2015-04-27,26.5442,True,362830.5,0.721425,False,85.9293,69.3716,0.0,-9.913845,False,False,False,,,True,-19.268982,2,9.634491,True,1.1909,8,-1,-3.6006,-4.2824,18.74,0,1.0,0.0,4,2,0.0,0.0,0.0,19.149667,0.0,0.0,1.0,5.688842,3.356788,5.33595,12.323814,-21.154827,15.845515,9.287576,2015-05-04,EMA9,7,buy,0,0.6321660418762001,0,1.0
AARTIIND.NS,2016-01-18,15.9238,True,194872.25,1.725638,True,122.5593,103.6125,0.0,-10.314185,False,False,False,,,True,-15.459309,1,15.459309,False,0.8926,0,-1,-3.865,-5.4717,20.23,0,1.0,0.0,1,1,0.0,0.0,0.0,27.478786,0.0,1.0,1.0,3.439123,2.62817,-14.907589,15.310604,-23.895211,14.401549,9.109349,2016-01-25,EMA9,7,buy,1,1.0,266,1.0
AARTIIND.NS,2017-08-11,26.0449,True,124037.7,1.577375,True,233.0198,204.2097,0.0,-5.906881,False,False,False,,,True,-12.363812,2,6.181906,False,0.9025,8,-1,-2.0761,-0.7053,15.2,4,0.0,1.0,8,3,0.0,0.0,0.0,41.082616,0.0,0.0,0.0,3.248255,1.561199,-5.816038,9.075436,-16.826972,3.151191,0.393183,2017-08-31,EMA9,20,avoid,2,1.0,571,1.0
AARTIIND.NS,2017-12-06,29.1232,True,82885.85,1.030888,False,216.4005,208.0901,0.0,-1.859446,False,False,False,,,True,-3.84027,8,0.480034,False,0.6488,33,-1,-1.8827,-1.4556,15.09,2,0.0,0.0,12,4,1.0,0.0,0.0,30.022779,0.0,0.0,0.0,1.738746,0.7743,2.917794,0.539908,-15.246502,32.477441,1.721304,2017-12-11,EMA9,5,buy,3,0.6666666666666666,117,1.0
AARTIIND.NS,2018-01-29,27.6507,True,216500.7,1.405326,False,276.76,243.0693,0.0,-6.286189,False,False,False,,,True,-12.173245,1,12.173245,False,0.502,3,1,3.0541,5.3528,17.89,0,1.0,0.0,1,1,0.0,0.0,0.0,38.8582,0.0,0.0,0.0,3.747899,1.614729,8.575349,11.911454,-12.427605,16.228979,7.003218,2018-02-01,EMA9,3,buy,4,0.75,54,1.0
AARTIIND.NS,2018-03-22,29.514,True,153506.05,1.313017,False,282.2687,257.775,0.0,-3.735953,False,False,False,,,True,-8.677446,6,1.446241,False,1.8246,8,-1,-1.8543,-2.9289,15.25,3,0.0,0.0,3,1,0.0,0.0,0.0,38.752388,0.0,0.0,0.0,2.535343,1.420596,-3.470593,24.577216,-9.8516,24.736326,5.067416,2018-03-27,EMA9,5,buy,5,0.8,52,1.0
AARTIIND.NS,2018-05-21,25.5443,True,141380.75,1.262591,False,317.6263,289.0424,0.0,-4.602226,False,False,False,,,True,-8.999213,2,4.499606,False,1.0594,3,-1,-1.2445,-0.3871,14.41,0,1.0,0.0,5,2,0.0,0.0,0.0,32.252002,0.0,0.0,0.0,2.806195,1.17389,4.495944,33.970762,-10.10659,6.335098,-0.310843,2018-06-11,EMA9,21,avoid,6,0.8333333333333334,60,1.0
AARTIIND.NS,2018-09-24,29.593,True,95146.65,1.130791,False,330.1095,291.8094,0.0,-5.257045,False,False,False,,,True,-11.602227,3,3.867409,False,0.7796,20,-1,-3.496,-2.9037,17.43,0,1.0,0.0,9,3,0.0,0.0,0.0,33.46347,0.0,0.0,0.0,3.836414,2.115653,-0.22603,6.387445,-14.584524,7.435331,0.956776,2018-10-08,EMA9,14,avoid,7,0.7142857142857143,126,1.0
AARTIIND.NS,2019-02-14,27.5013,True,329735.2,1.426854,False,407.2744,332.4116,0.0,-8.899493,False,False,False,,,True,-18.381434,6,3.063572,False,1.646,7,-1,-1.0496,-0.6731,15.77,3,0.0,0.0,2,1,0.0,0.0,0.0,39.240377,0.0,0.0,1.0,4.672963,2.599479,-3.260426,0.37745,-22.288893,10.266554,0.292606,2019-03-01,EMA9,15,avoid,8,0.625,143,1.0
AARTIIND.NS,2019-07-11,29.3077,True,272985.25,0.180054,False,432.5009,395.1563,0.0,-4.171437,False,False,False,,,True,-8.634573,4,2.158643,False,0.8059,4,-1,-1.317,-0.9977,12.47,3,0.0,0.0,7,3,0.0,0.0,0.0,5.276956,0.0,0.0,0.0,3.430776,1.583073,1.060329,7.768211,-12.289325,11.609401,3.931565,2019-07-17,EMA9,6,buy,9,0.5555555555555556,147,1.0
AARTIIND.NS,2020-03-12,24.2164,True,608605.7,1.440604,False,510.3288,416.1093,0.0,-10.292739,False,False,False,,,True,-18.462513,2,9.231256,False,0.4814,17,-1,-14.6283,-17.7194,41.16,3,0.0,0.0,3,1,0.0,0.0,0.0,34.886284,0.0,0.0,1.0,5.031954,2.943415,9.801784,9.787594,-20.97106,15.152416,-9.510873,2020-03-27,EMA9,15,avoid,10,0.6,245,1.0
AARTIIND.NS,2020-06-04,24.9537,True,922551.2,3.501022,True,533.5087,442.1652,0.0,-7.047077,False,False,False,,,True,-17.121267,7,2.445895,True,0.5891,5,1,5.9169,5.2235,29.69,3,0.0,0.0,6,2,0.0,0.0,0.0,87.363454,0.0,1.0,1.0,3.971695,1.843947,-8.546454,15.385715,-24.546991,8.961524,2.762955,2020-06-16,EMA9,12,buy,11,0.5454545454545454,84,1.0
AARTIIND.NS,2020-10-14,29.4324,True,465357.0,1.191958,False,553.3761,477.739,0.0,-2.868433,False,False,False,,,True,-13.668291,3,4.556097,False,0.5673,6,1,3.2532,5.366,20.21,2,0.0,0.0,10,4,1.0,0.0,0.0,35.082149,0.0,0.0,0.0,2.217244,1.663156,8.231887,4.845444,-20.930852,16.893323,2.879067,2020-10-16,EMA9,2,buy,12,0.5833333333333334,132,1.0
